char1_present,char2_present,text,speaker,choice1_text,choice1_split,c1_helga_effect,c1_rehan_effect,choice2_text,choice2_split,c1_helga_effect,c1_rehan_effect,choice3_text,choice3_split,c1_helga_effect,c1_rehan_effect,bg
1,0,You arrive at Hellgas house - it's eerily quiet and uncomfortable. Dead plants on the porch and a door that looks like it's been kicked in a couple of times.,3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
1,0,You get a text saying to walk straight in and go to the first room on the left - presumably her room.,3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
1,0,I know that I've come off as rude and inconsiderate - I have to apologise for that. I'm genuinely sorry,1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
1,0,I'm a bit of an outcast myself so I understand how it feels to be an outsider with no easy way into new relationships,1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
1,0,I was selfish and projected my own insecurities onto you. I was scared of rejection so I rejected you,1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
1,0," ""I understand.. I didn't appreciate it but I found it kinda sexy",0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
1,0,But there's more.. I've been hiding something from you.. Something that might be somewhat of a deal breaker...,1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
1,0,You kinky or something?,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
1,0,No.,1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
2,0,Hellga transforms,3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
2,0,Holy fu-,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
2,0,All of a sudden Hellga is no longer hot goth gf Hellga but instead an angel - a somewhat biblically accurate angel. It was terrifying to witness,3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
2,0,I didn't want to hide it from you but I had to to keep you around. I thought my actions would push you away but I suppose you were horny creep- my mistake,3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
2,0,B- but.. I don't understand - how??,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
0,0,*the end*,3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,HellgaRoom
